turk;turk2
845.37;174.02
836.55;183.11
832.8;186.98
823.51;196.57
820.32;199.86
470.77;560.46
467.62;563.7
464.48;566.94
461.34;570.18
458.72;572.88
424.68;608
421.01;611.78
122.62;919.6
118.72;923.62
73.03;970.76
23.28;1022.1
19.702;1025.8
16.56;1029
876.09;142.33
869.8;148.82
429.21;603.32
416.17;616.78
187.55;852.62
183.43;856.87
180.29;860.11
177.67;862.81
175.93;864.6
80.879;962.66
69.099;974.81
11.805;1033.9
8.8764;1036.9
864.3;154.49
854.87;164.22
851.29;167.91
842.3;177.18
838.72;180.88
829.73;190.15
826.51;193.48
455.04;576.68
450.85;581
447.71;584.24
444.57;587.48
441.43;590.73
438.28;593.97
435.14;597.21
432;600.45
75.898;967.8
26.411;1018.9
859.58;159.36
847.01;172.33
834.44;185.29
466.04;565.34
463.07;568.4
459.92;571.64
425.97;606.67
422.22;610.54
419.08;613.78
413.54;619.5
142.14;899.47
138.39;903.34
134.81;907.04
125.12;917.03
121.14;921.14
119.36;922.96
84.534;958.9
71.706;972.13
21.692;1023.7
17.939;1027.6
14.359;1031.3
880.26;138.03
876.07;142.35
872.93;145.6
869.78;148.84
866.64;152.08
190.05;850.05
185.86;854.37
182.72;857.61
179.84;860.58
146.69;894.78
132.45;909.47
79.815;963.76
29.542;1015.6
12.004;1033.7
862.19;156.68
855.9;163.16
852.32;166.85
849.18;170.09
843.33;176.13
839.75;179.82
836.61;183.06
830.82;189.04
456.86;574.81
453.28;578.5
450.14;581.74
447;584.98
443.85;588.23
440.71;591.47
437.57;594.71
434.43;597.95
431.29;601.19
428.14;604.43
416.01;616.95
410.12;623.03
151.29;890.03
87.664;955.67
75.62;968.09
24.56;1020.8
460.78;570.76
424.02;608.69
419.76;613.08
154.43;886.8
141.86;899.76
138.72;903
135.84;905.97
125.89;916.24
121.96;920.29
82.945;960.54
32.933;1012.1
19.971;1025.5
16.355;1029.2
884.43;133.73
880.24;138.05
877.1;141.3
873.96;144.54
870.82;147.78
867.67;151.02
864.53;154.26
859.29;159.66
846.72;172.63
834.94;184.79
412.86;620.21
406.83;626.42
193.17;846.83
188.98;851.15
185.84;854.39
182.96;857.36
157.56;883.56
148.14;893.29
145;896.53
90.795;952.44
78.75;964.87
28.214;1017
853.79;165.34
850.91;168.31
841.22;178.31
838.34;181.28
456.06;575.64
453.26;578.52
450.12;581.77
446.98;585.01
443.84;588.25
440.69;591.49
437.55;594.73
434.41;597.97
431.27;601.21
428.13;604.45
416.6;616.34
409.97;623.18
160.96;880.06
151.53;889.78
86.076;957.31
37.111;1007.8
24.149;1021.2
423.84;608.87
420.09;612.75
164.1;876.83
154.67;886.55
141.84;899.78
126.76;915.34
122.99;919.23
93.925;949.21
81.75;961.77
32.915;1012.2
20.878;1024.6
888.6;129.43
884.41;133.75
881.27;137
878.13;140.24
874.99;143.48
871.85;146.72
868.7;149.96
865.56;153.2
862.42;156.44
859.28;159.68
856.13;162.93
847.75;171.57
843.57;175.89
412.68;620.39
406.4;626.87
402.45;630.94
196.04;843.88
192.46;847.57
189.32;850.81
186.18;854.05
147.73;893.71
89.206;954.08
41.55;1003.2
28.982;1016.2
852.46;166.72
840.16;179.41
451.15;580.71
448.01;583.95
444.87;587.19
441.72;590.43
438.58;593.67
435.44;596.91
432.3;600.15
429.16;603.4
426.01;606.64
417.02;615.91
168.01;872.79
158.59;882.51
96.793;946.26
84.88;958.55
45.21;999.47
38.141;1006.8
25.579;1019.7
422.78;609.98
419.37;613.49
163.29;877.66
154.39;886.84
151.25;890.08
128.99;913.04
125.33;916.82
92.25;950.95
34.207;1010.8
891.99;125.94
888.24;129.81
885.09;133.05
881.95;136.3
878.81;139.54
875.67;142.78
872.53;146.02
869.38;149.26
866.24;152.5
863.1;155.74
859.96;158.99
856.82;162.23
847.53;171.81
843.73;175.73
412.3;620.79
408.55;624.66
405.4;627.9
402.26;631.14
399.29;634.2
198.38;841.47
194.19;845.79
191.04;849.03
188.96;851.19
172.19;868.48
100.71;942.22
87.774;955.57
50.069;994.46
29.757;1015.4
852.97;166.2
445.55;586.49
442.41;589.73
439.26;592.97
436.12;596.21
432.98;599.46
429.84;602.7
426.69;605.94
415.43;617.55
396.58;637
167.47;873.35
159.49;881.59
95.728;947.36
45.193;999.49
41.616;1003.2
38.648;1006.2
894.86;122.99
423.2;609.55
420.06;612.79
176.63;863.9
163.63;877.32
129.87;912.15
126.62;915.49
104.36;938.45
91.185;952.05
54.457;989.94
34.983;1010
889.35;128.66
885.78;132.36
882.63;135.6
879.49;138.84
876.35;142.08
873.21;145.32
870.06;148.56
866.92;151.8
863.78;155.05
860.64;158.29
857.5;161.53
849.3;169.99
409.92;623.24
405.74;627.56
402.59;630.8
399.45;634.04
200.45;839.33
196.26;843.65
193.47;846.53
191.56;848.51
171.91;868.77
99.646;943.32
88.389;954.93
58.797;985.46
49.371;995.19
853.21;165.95
441.34;590.83
438.55;593.71
435.41;596.96
432.26;600.2
429.12;603.44
425.98;606.68
416.99;615.95
414.11;618.93
395.13;638.51
179.5;860.95
167.98;872.83
107.23;935.5
94.664;948.46
62.195;981.96
