q1;q2
0.6598;-0.0369
0.6606;0.7315
0.6627;-0.0410
0.6636;0.7334
0.6657;-0.0491
0.6665;0.7333
0.6686;-0.0532
0.6694;0.7352
0.6716;-0.0603
0.6724;0.7362
0.6745;-0.0634
0.6753;0.7401
0.6775;-0.0655
0.6782;0.7440
0.6804;-0.0656
0.6811;0.7479
0.6834;-0.0647
0.6841;0.7498
0.6863;-0.0618
0.6870;0.7507
0.6892;-0.0619
0.6900;0.7527
0.6922;-0.0640
0.6929;0.7506
0.6951;-0.0661
0.6958;0.7495
0.6981;-0.0682
0.6988;0.7453
0.7010;-0.0693
0.7017;0.7422
0.7040;-0.0704
0.7047;0.7391
0.7069;-0.0695
0.7076;0.7380
0.7098;-0.0675
0.7106;0.7359
0.7128;-0.0656
0.7135;0.7349
0.7157;-0.0617
0.7165;0.7338
0.7186;-0.0578
0.7194;0.7337
0.7216;-0.0539
0.7223;0.7316
0.7245;-0.0500
0.7253;0.7315
0.7274;-0.0460
0.7282;0.7314
0.7303;-0.0421
0.7312;0.7313
0.7333;-0.0382
0.7341;0.7312
0.7362;-0.0363
0.7370;0.7311
0.7391;-0.0344
0.7400;0.7330
0.7421;-0.0335
0.7429;0.7339
0.7450;-0.0315
0.7459;0.7368
0.7479;-0.0296
0.7488;0.7408
0.7509;-0.0287
0.7517;0.7467
0.7538;-0.0258
0.7546;0.7506
0.7567;-0.0229
0.7576;0.7585
0.7597;-0.0190
0.7605;0.7625
0.7626;-0.0140
0.7634;0.7684
0.7655;-0.0091
0.7663;0.7723
0.7685;-0.0042
0.7693;0.7762
0.7714;-0.0003
0.7722;0.7801
0.7743;0.0036
0.7751;0.7841
0.7772;0.0066
0.7780;0.7880
0.7802;0.0105
0.7810;0.7939
0.7831;0.0134
0.7839;0.7978
0.7860;0.0153
0.7868;0.8058
0.7890;0.0172
0.7900;0.8164
0.7890;0.8097
0.7919;0.0171
0.7926;0.8256
0.7948;0.0190
0.7956;0.8336
0.7978;0.0190
0.7985;0.8375
0.8007;0.0179
0.8014;0.8424
0.8037;0.0168
0.8043;0.8453
0.8066;0.0167
0.8073;0.8452
0.8095;0.0166
0.8102;0.8431
0.8125;0.0165
0.8132;0.8390
0.8154;0.0164
0.8161;0.8409
0.8184;0.0223
0.8190;0.8489
0.8213;0.0292
0.8220;0.8528
0.8242;0.0332
0.8249;0.8537
0.8271;0.0351
0.8278;0.8536
0.8301;0.0360
0.8308;0.8525
0.8330;0.0359
0.8337;0.8514
0.8359;0.0378
0.8367;0.8503
0.8389;0.0387
0.8396;0.8482
0.8418;0.0406
0.8426;0.8481
0.8447;0.0456
0.8455;0.8480
0.8477;0.0505
0.8484;0.8479
0.8506;0.0564
0.8514;0.8519
0.8535;0.0603
0.8545;0.8705
0.8535;0.8618
0.8536;0.8558
0.8565;0.0632
0.8572;0.8788
0.8594;0.0631
0.8601;0.8787
0.8623;0.0600
0.8631;0.8766
0.8653;0.0529
0.8660;0.8715
0.8660;0.8614
0.8683;0.0448
0.8675;0.8554
0.8682;0.8694
0.8712;0.0387
0.8705;0.8543
0.8742;0.0366
0.8734;0.8532
0.8749;0.8461
0.8771;0.0365
0.8779;0.8390
0.8779;0.8330
0.8800;0.0404
0.8808;0.8309
0.8829;0.0514
0.8822;0.0444
0.8844;0.0593
0.8838;0.8288
0.8858;0.0673
0.8875;0.0750
0.8867;0.8227
0.8885;0.8139
0.8902;0.0792
0.8912;0.8085
0.8931;0.0821
0.8941;0.8114
0.8961;0.0830
0.8970;0.8103
0.8990;0.0840
0.8993;0.8082
0.9000;0.8012
0.9020;0.0859
0.9015;0.7951
0.9030;0.7880
0.9049;0.0858
0.9045;0.7810
0.9078;0.0877
0.9074;0.7739
0.9108;0.0876
0.9104;0.7697
0.9106;0.6754
0.9107;0.6674
0.9107;0.6604
0.9121;0.6844
0.9122;0.6523
0.9137;0.0865
0.9133;0.7616
0.9138;0.6921
0.9137;0.6443
0.9148;0.7516
0.9151;0.6382
0.9167;0.0854
0.9163;0.7435
0.9164;0.7033
0.9157;0.6974
0.9178;0.7334
0.9179;0.7254
0.9179;0.7173
0.9172;0.7114
0.9181;0.6341
0.9196;0.0843
0.9199;0.6190
0.9211;0.6290
0.9211;0.6079
0.9225;0.0822
0.9241;0.6058
0.9255;0.0791
0.9270;0.6047
0.9284;0.0750
0.9299;0.6046
0.9314;0.0719
0.9329;0.6045
0.9343;0.0718
0.9358;0.6034
0.9373;0.0747
0.9388;0.6013
0.9402;0.0776
0.9417;0.5992
0.9431;0.0765
0.9446;0.0695
0.9447;0.5971
0.9450;0.4737
0.9450;0.4667
0.9465;0.4586
0.9476;0.0664
0.9476;0.5960
0.9479;0.4787
0.9482;0.4509
0.9505;0.0673
0.9505;0.5959
0.9509;0.4796
0.9509;0.4455
0.9534;0.0732
0.9535;0.5958
0.9538;0.4795
0.9539;0.4393
0.9549;0.0882
0.9549;0.0812
0.9554;0.4172
0.9547;0.4092
0.9555;0.3992
0.9555;0.3931
0.9564;0.5958
0.9567;0.4784
0.9561;0.4333
0.9569;0.4262
0.9578;0.0921
0.9585;0.3870
0.9594;0.5937
0.9597;0.4773
